94000	2.09E-008	0.135438
94500	2.07E-008	0.13527
95000	2.05E-008	0.135101
95500	2.03E-008	0.134933
96000	2.00E-008	0.134765
96500	1.98E-008	0.134597
97000	1.96E-008	0.134429
97500	1.94E-008	0.134261
98000	1.92E-008	0.134092
98500	1.90E-008	0.133924
99000	1.88E-008	0.133756
99500	1.86E-008	0.133588
100000	1.84E-008	0.133424
100500	1.83E-008	0.133264
101000	1.81E-008	0.133105
101500	1.79E-008	0.132945
102000	1.78E-008	0.132786
102500	1.76E-008	0.132626
103000	1.74E-008	0.132467
103500	1.72E-008	0.132307
104000	1.71E-008	0.132147
104500	1.69E-008	0.131988
105000	1.67E-008	0.131828
105500	1.66E-008	0.131669
106000	1.64E-008	0.131509
106500	1.63E-008	0.13135
107000	1.61E-008	0.131196
107500	1.60E-008	0.131045
108000	1.58E-008	0.130893
108500	1.57E-008	0.130742
109000	1.55E-008	0.13059
109500	1.54E-008	0.130439
110000	1.53E-008	0.130287
110500	1.51E-008	0.130136
111000	1.50E-008	0.129984
111500	1.49E-008	0.129833
112000	1.47E-008	0.129681
112500	1.46E-008	0.12953
113000	1.45E-008	0.129378
113500	1.43E-008	0.129227
114000	1.42E-008	0.129075
114500	1.41E-008	0.128933
115000	1.40E-008	0.12879
115500	1.38E-008	0.128648
116000	1.37E-008	0.128505
116500	1.36E-008	0.128362
117000	1.35E-008	0.12822
117500	1.34E-008	0.128077
118000	1.33E-008	0.127934
118500	1.31E-008	0.127792
119000	1.30E-008	0.127649
119500	1.29E-008	0.127507
120000	1.28E-008	0.127364
120500	1.27E-008	0.127221
121000	1.26E-008	0.127079
121500	1.25E-008	0.126936
122000	1.24E-008	0.126796
122500	1.23E-008	0.12666
123000	1.22E-008	0.126525
123500	1.21E-008	0.126389
124000	1.20E-008	0.126254
124500	1.19E-008	0.126118
125000	1.18E-008	0.125983
125500	1.17E-008	0.125847
126000	1.16E-008	0.125712
126500	1.15E-008	0.125576
127000	1.14E-008	0.125441
127500	1.14E-008	0.125305
128000	1.13E-008	0.12517
128500	1.12E-008	0.125034
129000	1.11E-008	0.124899
129500	1.10E-008	0.124763
130000	1.09E-008	0.124628
130500	1.08E-008	0.124496
131000	1.07E-008	0.124368
131500	1.07E-008	0.12424
132000	1.06E-008	0.124113
132500	1.05E-008	0.123985
133000	1.04E-008	0.123857
133500	1.04E-008	0.12373
134000	1.03E-008	0.123602
134500	1.02E-008	0.123474
135000	1.01E-008	0.123347
135500	1.01E-008	0.123219
136000	9.98E-009	0.123091
136500	9.91E-009	0.122964
137000	9.83E-009	0.122836
137500	9.76E-009	0.122708
138000	9.69E-009	0.122581
138500	9.61E-009	0.122453
139000	9.54E-009	0.122325
139500	9.47E-009	0.122201
140000	9.41E-009	0.12208
140500	9.34E-009	0.121959
141000	9.28E-009	0.121839
141500	9.22E-009	0.121718
142000	9.15E-009	0.121597
142500	9.09E-009	0.121476
143000	9.03E-009	0.121355
143500	8.97E-009	0.121234
144000	8.91E-009	0.121114
144500	8.84E-009	0.120993
145000	8.78E-009	0.120872
145500	8.72E-009	0.120751
146000	8.66E-009	0.12063
146500	8.60E-009	0.12051
147000	8.54E-009	0.120389
147500	8.48E-009	0.120268
148000	8.42E-009	0.120147
148500	8.36E-009	0.120026
149000	8.30E-009	0.119907
149500	8.25E-009	0.119793
150000	8.20E-009	0.119679
150500	8.15E-009	0.119566
151000	8.09E-009	0.119452
151500	8.04E-009	0.119338
152000	7.99E-009	0.119224
152500	7.94E-009	0.11911
153000	7.89E-009	0.118996
153500	7.84E-009	0.118882
154000	7.79E-009	0.118768
154500	7.74E-009	0.118654
155000	7.69E-009	0.118541
155500	7.64E-009	0.118427
156000	7.59E-009	0.118313
156500	7.54E-009	0.118199
157000	7.49E-009	0.118085
157500	7.44E-009	0.117971
158000	7.39E-009	0.117857
158500	7.34E-009	0.117743
159000	7.29E-009	0.11763
159500	7.25E-009	0.117521
160000	7.20E-009	0.117414
160500	7.16E-009	0.117307
